Area Code,Area,Average 
E09000001,City of London,"2,377"
E09000002,Barking and Dagenham,"1,192"
E09000003,Barnet,"1,548"
E09000004,Bexley,"1,084"
E09000005,Brent,"1,578"
E09000006,Bromley,"1,318"
E09000007,Camden,"2,427"
E09000008,Croydon,"1,112"
E09000009,Ealing,"1,484"
E09000010,Enfield,"1,325"
E09000011,Greenwich,"1,380"
E09000012,Hackney,"1,834"
E09000013,Hammersmith and Fulham,"2,070"
E09000014,Haringey,"1,513"
E09000015,Harrow,"1,396"
E09000016,Havering,"1,131"
E09000017,Hillingdon,"1,268"
E09000018,Hounslow,"1,410"
E09000019,Islington,"1,895"
E09000020,Kensington and Chelsea,"3,208"
E09000021,Kingston upon Thames,"1,396"
E09000022,Lambeth,"1,751"
E09000023,Lewisham,"1,318"
E09000024,Merton,"1,542"
E09000025,Newham,"1,422"
E09000026,Redbridge,"1,303"
E09000027,Richmond upon Thames,"1,896"
E09000028,Southwark,"1,676"
E09000029,Sutton,"1,130"
E09000030,Tower Hamlets,"1,773"
E09000031,Waltham Forest,"1,314"
E09000032,Wandsworth,"1,828"
E09000033,Westminster,"2,832"
,,
E13000001,Inner London,"2,028"
E13000002,Outer London,"1,394"
,,
E12000001,North East,541
E12000002,North West,610
E12000003,Yorkshire and The Humber,609
E12000004,East Midlands,623
E12000005,West Midlands,651
E12000006,East,863
E12000007,London,"1,727"
E12000008,South East,980
E12000009,South West,784
,,
E92000001,England,858